algorithm,is_baseline,instance_id,size,power_pressure_class,repetition,makespan,best_known_makespan,best_naive_makespan,rpd,hit_bks,within_0_1pct,reached_0_1pct,time_to_0_1pct_s,evaluations_to_0_1pct,within_1pct,reached_1pct,time_to_1pct_s,evaluations_to_1pct,execution_time_s,time_overrun_s,solution_count,solutions_per_second,auc_rpd_time,termination_reason,hit_time_limit,profile_id,status
BRKGA-R-LS,False,n0100_i05,100,medium,3,519.945594538776,517.9557019322892,526.3210253429138,0.38418200611815095,False,False,False,,,True,True,4.545440300018527,19507.0,150.00072709994856,0.0007270999485626817,581447,3876.2945436429113,0.4531230769784971,time_limit,True,run_b9ece1fb,ok
BRKGA-R-LS,False,n0100_i05,100,medium,4,519.9158503738668,517.9557019322892,526.3210253429138,0.3784393982467973,False,False,False,,,True,True,4.5157970999134704,19507.0,150.00065399997402,0.0006539999740198255,575793,3838.603263690435,0.4312952965717265,time_limit,True,run_b9ece1fb,ok
BRKGA-R-LS,False,n0100_i05,100,medium,5,520.1361603122252,517.9557019322892,526.3210253429138,0.42097391182326316,False,False,False,,,True,True,8.002873199991882,19507.0,150.0007947999984,0.0007947999984025955,569095,3793.9465638085144,0.5193677732742205,time_limit,True,run_b9ece1fb,ok
GA,False,n0100_i05,100,medium,1,518.2018654331156,517.9557019322892,526.3210253429138,0.047525975659311465,False,True,True,38.51554259995464,137626.0,True,True,0.40833979996386915,1624.0,150.00074709998444,0.0007470999844372272,583286,3888.553965742618,0.10519568482380597,time_limit,True,run_b9ece1fb,ok
GA,False,n0100_i05,100,medium,2,518.7816422749427,517.9557019322892,526.3210253429138,0.15946157935363586,False,False,False,,,True,True,0.47062069992534816,1921.0,150.0004793999251,0.00047939992509782314,588457,3923.0341286515504,0.2478755189629986,time_limit,True,run_b9ece1fb,ok
GA,False,n0100_i05,100,medium,3,518.3934507520611,517.9557019322892,526.3210253429138,0.08451472165260195,False,True,True,43.5375729999505,277679.0,True,True,0.27437959995586425,1871.0,150.00087359989993,0.0008735998999327421,873690,5824.566077731049,0.1275757192293595,time_limit,True,run_b9ece1fb,ok
GA,False,n0100_i05,100,medium,4,518.7889523135779,517.9557019322892,526.3210253429138,0.16087290441636068,False,False,False,,,True,True,0.612517699948512,2399.0,150.00066679995507,0.0006667999550700188,584724,3898.1426714576123,0.20033449152662522,time_limit,True,run_b9ece1fb,ok
GA,False,n0100_i05,100,medium,5,518.4842413871834,517.9557019322892,526.3210253429138,0.10204337029641163,False,False,False,,,True,True,0.3506184999132529,1424.0,150.0004943999229,0.0004943999228999019,582323,3882.1405378001164,0.13976180544670494,time_limit,True,run_b9ece1fb,ok
HPSO,False,n0100_i05,100,medium,1,519.8282499485881,517.9557019322892,526.3210253429138,0.36152667290139634,False,False,False,,,True,True,0.14612740010488778,341.0,150.0005951001076,0.0005951001076027751,449965,2999.7547656374413,0.36788541019096516,time_limit,True,run_b9ece1fb,ok
HPSO,False,n0100_i05,100,medium,2,519.9746192551592,517.9557019322892,526.3210253429138,0.3897857124341208,False,False,False,,,True,True,0.14488939999137074,356.0,150.00074759998824,0.0007475999882444739,451243,3008.271673440882,0.405311986780437,time_limit,True,run_b9ece1fb,ok
